Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
HIIT,2024-11-28 18:28:14,false,"HIIT - Custom","0.00","165","00:16:20","130","162","--","--","--","--","--","--","--","0.0","--","No","00:00:01.8","25","00:00:00","00:16:21","--","--"
Walking,2024-11-28 12:38:49,false,"Leiden Walking","1.63","140","00:25:19","95","108","81","153","15:29","7:48","6","8","0.79","0.0","2,252","No","00:12:27","2","00:20:35","00:25:19","2","9"
Running,2024-11-24 15:00:21,false,"Leiden Running","8.13","679","00:53:56","150","169","157","165","6:38","5:33","15","17","0.96","0.0","8,378","No","00:00:48.9","9","00:53:52","00:53:56","-3","7"
Elliptical,2024-11-22 17:28:29,false,"Elliptical","0.00","93","00:08:48.1","126","143","78","153","--","--","--","--","0.00","0.0","776","No","00:08:48.1","1","00:00:00","00:08:48.1","--","--"
Running,2024-11-16 19:03:05,false,"Nijmegen Running","7.04","625","00:36:25","182","192","161","172","5:10","4:19","46","48","1.20","0.0","5,830","No","00:00:10.9","8","00:36:22","00:36:25","35","86"
Running,2024-11-14 17:13:06,false,"Leiden Running","3.01","255","00:19:24","145","156","159","167","6:27","5:48","5","6","0.98","0.0","3,056","No","00:00:02.0","4","00:19:23","00:19:24","2","8"
Treadmill Running,2024-11-11 09:11:26,false,"Treadmill Running","0.75","238","00:15:24","162","182","74","157","20:29","8:56","--","--","0.66","0.0","1,582","No","00:15:24","1","00:09:36","00:16:25","--","--"
Running,2024-11-10 11:26:31,false,"Leiden Running","12.93","1,194","01:22:26","154","177","157","176","6:22","5:13","16","16","1.00","0.0","12,866","No","00:00:19.6","9","01:22:24","01:22:26","-3","7"
Cardio,2024-11-09 11:05:57,false,"Cardio","0.00","275","00:36:06","112","129","--","--","--","--","--","--","--","0.0","--","No","00:36:06","1","00:00:00","00:36:06","--","--"
HIIT,2024-11-08 16:51:57,false,"HIIT - Custom","0.00","52","00:08:23.6","101","132","--","--","--","--","--","--","--","0.0","--","No","00:00:01.5","11","00:00:00","00:08:23.6","--","--"
